number,sentence,question,correct,answer2
1,"Михаил старше Николая, но младше Антона.",Кто старше?,Антон,Николай
2,"Кольцо дешевле браслета, но дороже часов.",Что стоит дороже?,браслет,часы
3,"Школа дальше от дома, чем поликлиника, но ближе, чем библиотека.",Что находится ближе к дому?,поликлиника,библиотека
4,"Диван легче кровати, но тяжелее кресла.",Что легче?,кресло,диван
5,"Во вторник было холоднее, чем в четверг, но теплее, чем в пятницу.",Когда было теплее?,в четверг,в пятницу
6,"Зеленый дом выше красного, но ниже серого.",Какой дом выше?,серый,красный
7,"Белая шапка теплее синей, но холоднее фиолетовой.",Какая шапка теплее?,фиолетовая,синяя
8,"Варя выше Киры, но ниже Арины.",Кто выше?,Арина,Кира
9,"Черная сумка тяжелее серой, но легче коричневой.",Какая сумка тяжелее?,коричневая,серая
10,"Дома этого года постройки делали из красного кирпича.",Из какого кирпича делали дома?,из красного,из коричневого
11,"Вера на прошлой неделе пришла к Паше.",Кого к кому пришел?,Вера к Паше,Паша к Вере
12,"В старинном доме было два этажа.",Сколько было этажей?,два,три
13,"Артист работает в цирке две недели.",Сколько недель работает артист в цирке?,две,три
14,"Лёша купил себе израильскую глину.",Какую глину купил Лёша?,израильскую,египетскую
15,"Ремонт моего телефона занял два месяца.",Сколько месяцев занял ремонт моего телефона?,два,четыре
16,"Во вторник профессор прочитал нам интересную лекцию.",Когда профессор прочитал нам лекцию?,во вторник,в среду
17,"Билеты для сотрудников театра продают с большой скидкой.",Что делают сотрудники?,покупают билеты,продают билеты
18,"Сургут самый холодный город после Магадана.",Где холоднее?,в Магадане,в Сургуте
19,"Обзор гораздо лучше с верхнего этажа дома.",С какого этажа лучше обзор?,с верхнего,с нижнего
20,"Егор с самого первого рабочего дня начал завидовать Ивану.",Кто завидовал?,Егор,Иван
21,"Этот сувенир подруга сестры привезла из Португалии.",Кто привез сувенир?,подруга сестры,сестра подруги
22,"При отъезде тётю проводила прямо до дверей вагона племянница.",Кто кого проводил?,племянница тетю,тётя племянницу
23,"Чашки всегда стояли на верхней полке шкафа.",На какой полке стояли чашки?,на верхней,на нижней
24,"Возле школы я встретил учителя сына с новым портфелем.",Кто встретился возле школы?,учитель сына,сын учителя
25,"Андрей на лестнице одним шагом обогнал Славу.",Кого обогнали?,Славу,Андрея
26,"На вокзале мы встретили мужа коллеги с тяжелым чемоданом.",Кого встретили на вокзале?,мужа коллеги,коллегу мужа
27,"После концерта балерина пыталась найти за сценой подругу.",Кого пытались найти?,подругу,балерину
28,"Балерина во время перерыва слушала певицу.",Кто кого слушал?,балерина певицу,певица балерину
29,"Курс рубля растет быстрее, чем курс доллара.",Какой курс растет медленнее?,курс доллара,курс рубля
30,"В Исландии вулканов больше, чем на Камчатке.",Где вулканов меньше?,на Камчатке,в Исландии
31,"Фирма много лет арендует это помещение у института.",Кто сдает помещение в аренду?,институт,фирма
32,"Московский футбольный клуб 'Спартак' вчера выиграл у киевского футбольного клуба 'Динамо'.",Какая команда проиграла матч?,Динамо,Спартак
33,"Выпускница была одета в красивое синее платье длиной немного ниже колена.",Какого цвета было платье выпускницы?,синее,белое
34,"На площадке я встретил брата моего друга с большой собакой.",Кого я встретил на площадке?,брата друга,друга брата
35,"К автомобилю подошел охранник начальника в черном костюме.",Кто подошел к автомобилю?,охранник,начальник
36,"Коллекционер год назад передал музею собрание китайского фарфора.",Кто приобрел собрание фарфора?,музей,коллекционер
37,"Эту новость мы узнали от соседки бабушки вчера вечером.",Кто рассказал новость?,соседка,бабушка
38,"В гости зашел ученик моего отца из другого города.",Кто зашел в гости?,ученик отца,отец ученика
39,"Гости посмотрели на няню девочки, державшую куклу.",Кто держал куклу?,няня,девочка
40,"Мы говорили с зятем хозяина, строившим дом.",Кто строил дом?,зять,хозяин
41,"Никто не мог найти подругу актрисы, заказавшую цветы.",Кто заказал цветы?,подруга,актриса
42,"Диплом был выдан аспиранту профессора, работавшему над новой темой.",Кто работал над новой темой?,аспирант,профессор
43,"Они рассказали историю о враге капитана, утонувшем в море.",Кто утонул в море?,враг,капитан
44,"В школу сообщили о брате ученика, забывшем дневник.",Кто забыл дневник?,ученик,брат
45,"Конверт передали коллеге детектива, следившему за вором.",Кто следил за вором?,коллега,детектив
46,"Все говорили об ассистенте режиссера, приехавшем на фестиваль.",Кто приехал на фестиваль?,ассистент,режиссёр
47,"Наташа кладет в пакет тяжелый портфель.",Что где находится?,портфель в пакете,пакет в портфеле
48,"Мы повесили большую фотографию над картиной в раме.",Что где находится?,фотография над картиной,картина над фотографией
49,"На рабочем столе под письмами лежат квитанции.",Что где лежит?,квитанции под письмами,письма под квитанциями
50,"Почтальон положила новые газеты под старые журналы.",Что где находится?,газеты под журналами,журналы под газетами
51,"Пассажир спрятал в серый ящик кожаный чемодан.",Что где находится?,чемодан в ящике,ящик в чемодане
52,"Папа повесил над металлическим шкафом книжную полку.",Что где находится?,полка над шкафом,шкаф над полкой
53,"Даша убрала пластиковую коробку в маленькую сумку.",Что где находится?,коробка в сумке,сумка в коробке
54,"В шкафу под теплыми шарфами лежит несколько черных шапок.",Что где находится?,шапки под шарфами,шарфы под шапками
55,"Мы пообщались с адвокатом преступника, обращавшегося к суду.",Кто обращался к суду?,преступник,адвокат
56,"Организатор зашел к тренеру гимнаста, приехавшего на чемпионат.",Кто приехал на чемпионат?,гимнаст,тренер
